Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R7,5.1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,165.8,-268.875,-90.0,top
R8,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,178.6,-232.85,180.0,top
R9,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,178.6,-229.45,180.0,top
S1,SSSS811101,SW_SSSS811101,199.8,-135.6,90.0,top
U1,AMS1117-3.3,SOT-223-3_TabPin2,185.0,-134.0,0.0,top
U10,PCA9555PW,TSSOP-24_4.4x7.8mm_P0.65mm,183.4,-207.3375,90.0,top
U11,~,PJ-327E-5A,143.0,-275.175,180.0,top
U13,W25Q32JVSS,SOIC-8_5.3x5.3mm_P1.27mm,141.0,-157.0,0.0,top
U14,DS3231MZ,SOIC-8_3.9x4.9mm_P1.27mm,119.4,-243.6,90.0,top
U15,BQ27441DRZT-G1A,Texas_S-PDSO-N12,124.8,-260.1,0.0,top
U2,AMS1117-3.3,SOT-223-3_TabPin2,185.75,-241.2,0.0,top
U3,MAX3421EETJ_T,QFP50P700X700X120-32N,155.1,-242.8,-90.0,top
U4,~,SOP80P1176X120-54N,160.2,-217.2,-90.0,top
U5,AMS1117-1.8,SOT-223-3_TabPin2,134.7475,-226.7,0.0,top
U6,TPS63002,Texas_DRC0010J_ThermalVias,138.425,-245.25,0.0,top
U7,BQ24072RGT,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,134.85,-259.05,-90.0,top
U8,~,QFN50P500X500X100-33N,133.6,-211.4,0.0,top
U9,TPS22917DBV,SOT-23-6,148.2,-257.6,0.0,top
Y1,12MHz,Crystal_SMD_HC49-SD,163.0,-243.6,90.0,top
