SODIMM,Designator,FPGA,Signal,Direction
57,PT27B,B7,USB_HCI_RESET_n,output
59,PT18B,A6,USE_HCI_SS_n,output
61,PT22B,B6,USE_HCI_MOSI,output
63,PT18A,A5,USE_HCI_MISO,input
65,PT15B,B5,USE_HCI_SCLK,output
67,PT6B,A4,USE_HCI_INT,input
